product_id,brand,category,product_name,price_lkr,rating,review_count,ingredient_list,skin_concerns
p1,CeraVe,Cleanser,CeraVe Foaming Facial Cleanser,5500,4.5,1200,"Niacinamide,Hyaluronic Acid,Ceramides","Acne,Oily Skin"
p2,CeraVe,Moisturizer,CeraVe Moisturizing Cream,6200,4.7,2000,"Ceramides,Hyaluronic Acid","Dryness,Sensitive Skin"
p3,The Ordinary,Serum,Niacinamide 10% + Zinc 1%,4500,4.6,2100,"Niacinamide,Zinc PCA","Acne,Oil Control"
p4,The Ordinary,Serum,Salicylic Acid 2% Solution,4800,4.4,1800,"Salicylic Acid","Acne"
p5,COSRX,Serum,Advanced Snail 96 Mucin Essence,6000,4.7,1500,"Snail Mucin,Hyaluronic Acid","Hydration,Repair"
p6,COSRX,Cleanser,Low pH Good Morning Cleanser,5200,4.5,1300,"Tea Tree Oil,Betaine Salicylate","Acne,Sensitive Skin"
p7,Neutrogena,Cleanser,Oil-Free Acne Wash,4000,4.3,1700,"Salicylic Acid","Acne"
p8,Neutrogena,Moisturizer,Hydro Boost Water Gel,5800,4.6,2200,"Hyaluronic Acid","Dryness"
p9,Nivea,Moisturizer,Nivea Soft Cream,2500,4.2,900,"Jojoba Oil,Vitamin E","Dryness"
p10,Garnier,Serum,Vitamin C Booster Serum,4200,4.4,1400,"Vitamin C,Niacinamide","Pigmentation"
p11,Cetaphil,Cleanser,Gentle Skin Cleanser,5300,4.6,1900,"Glycerin","Sensitive Skin"
p12,Cetaphil,Moisturizer,Daily Hydrating Lotion,5600,4.5,1600,"Hyaluronic Acid","Dryness"
p13,Spa Ceylon,Moisturizer,Herbal Night Cream,3500,4.1,400,"Aloe Vera,Sandalwood","Sensitive Skin"
p14,Nature’s Secrets,Moisturizer,Aloe Vera Gel,2500,4.2,600,"Aloe Vera","Hydration"
p15,COSRX,Serum,BHA Blackhead Power Liquid,6100,4.5,1700,"Salicylic Acid","Acne"
p16,The Ordinary,Serum,Alpha Arbutin 2% + HA,4700,4.5,1600,"Alpha Arbutin,Hyaluronic Acid","Pigmentation"
p17,CeraVe,Sunscreen,AM Facial Moisturizing Lotion SPF30,6500,4.6,1800,"Niacinamide,SPF","Sun Protection"
p18,Garnier,Cleanser,Micellar Cleansing Water,3000,4.3,1500,"Micelles","Sensitive Skin"
p19,Nivea,Sunscreen,Sun Protect SPF50,3200,4.2,800,"SPF","Sun Protection"
p20,COSRX,Moisturizer,Oil-Free Ultra Moisturizing Lotion,5800,4.5,1200,"Birch Sap","Oily Skin"
